name,last_modified_date,n_items,description,n_followers
Spotify.Me,2020-04-02,20,,0
T.U.C.: Transnational Unauthorized Covers,2020-06-25,18,,1
Jadakiss,2020-03-31,5,,0
music my friends make,2020-03-23,4,a playlist of the music my friends make,0
Hasta la Raíz,2020-08-29,7,,0
Moviendo Masas,2020-02-21,8,,0
Frijolero,2020-01-30,8,,0
🤯,2019-11-26,1,,0
Una Pelicula de Willie DeVille,2019-10-01,17,,0
Aleman: pa antes de una entrevista de trabajo,2019-10-09,13,,1
Yum Yum,2019-09-03,4,,0
codear (2),2019-08-27,128,,0
Spotify.Me,2019-08-26,20,,0
Daily Mix 6 - 8/13/19,2019-08-14,43,,0
Todo Va a Estar Bien,2020-08-29,14,,0
Summer Nights,2019-07-30,6,,0
Mejores Versos pt. I,2020-04-23,8,,0
El Vicio y La Fama Cumbiones,2019-07-15,3,,0
Wish Wish,2019-08-08,13,,0
🔪🖐🏼,2019-10-14,26,,0
Oi nomás ese cumbión,2019-08-29,11,,0
Daily Mix 1 - FEITA PARA EL:25/02/2019,2019-02-25,15,,0
pa mi beibi ,2018-11-04,14,,0
?,2018-10-30,11,,0
SPLATAM,2018-09-18,35,,0
Curtidas na Rádio,2020-07-02,8,,0
FTP,2018-09-18,3,,0
Yum Yum ep. 2,2018-09-18,8,,0
Yum Yum ep. 1,2018-09-18,9,,0
Lo Que Ando Oyendo: Febrero 2018,2018-09-18,25,,0
Descubriendo,2021-10-06,94,,0
Heavy Rotation: Enero 2018,2018-09-18,20,,2
Heavy Rotation: Diciembre 2017,2018-09-18,20,,0
Heavy Rotation: Noviembre 2017,2018-09-18,15,,0
Pachanguita,2018-09-18,11,,0
